50
0.815931	0.020953
0.023361	0.201484
0.200629	0.940410
0.978778	0.604172
0.541058	0.743513
0.269112	0.933059
0.243351	0.806137
0.031399	0.409651
0.278734	0.788729
0.236901	0.166296
0.719558	0.819845
0.460065	0.535695
0.170237	0.296357
0.989882	0.491561
0.975327	0.448923
0.184963	0.642581
0.113658	0.320452
0.331997	0.469943
0.628735	0.632561
0.764488	0.580744
0.217310	0.239215
0.716889	0.185575
0.752460	0.074590
0.141817	0.497227
0.520067	0.067890
0.540244	0.856184
0.671157	0.840269
0.349482	0.093503
0.636487	0.732071
0.917440	0.635536
0.563964	0.588692
0.403759	0.463615
0.652362	0.879667
0.867696	0.583032
0.954220	0.984239
0.657455	0.789925
0.743645	0.573105
0.965132	0.778570
0.456895	0.291578
0.934078	0.116430
0.626850	0.304977
0.038188	0.760930
0.720025	0.708182
0.427711	0.337567
0.313492	0.857362
0.168323	0.686131
0.937502	0.613575
0.368774	0.008603
0.153687	0.214457
0.060984	0.089765
